seed,hashtag,jaccard
vaccine,astrazenecavaccine,0.0
vaccine,billgates,0.0
vaccine,fascists,0.0
vaccine,lgnthumor,0.0
vaccine,fakenews,0.0
vaccine,scchat,0.0
vaccine,wales,0.0
vaccine,goodfriday,0.0
vaccine,borisjohnson,0.0
vaccine,mattgaetz,0.0
vaccine,angelamerkel,0.0
vaccine,jammukashmir,0.0
vaccine,frivolousfriday,0.0
vaccine,ecogiftsday,0.0
vaccine,covid19qld,0.0
vaccine,leahdurant,0.0
vaccine,sops,0.0
vaccine,france,0.0
vaccine,abcnews,0.0
vaccine,digital,0.0
vaccine,uppcares,0.0
vaccine,blessed,0.0
vaccine,pakistan,0.0
vaccine,forthepeople,0.0
vaccine,lebanon,0.0
vaccine,square,0.0
vaccine,health,0.0
vaccine,starwars,0.0
vaccine,vaccinerollout,0.0
vaccine,covaxin,0.0
vaccine,greece,0.0
vaccine,lehighvalley,0.0
vaccine,up,0.0
vaccine,rajasthan,0.0
