tweet_id,user,created_on,tweet_text,fav_count,user_description,user_verified,user_follower_count,is_retweet,hashtags
1387491715418755073,ElijahJoseph_H,2021-04-28 19:39:37,As it should be for every place of work and institution,0,Jessi 💞|| PNW || WSU Alumnae,False,411,0,[]
1387491715645325313,Peradventur3,2021-04-28 19:39:38,"Johnson Regime continues to describe EU-UK relations as those of ""sovereign equals"". But the EU isn't sovereign. And the UK isn't its equal. Silly Brexitists: they really do swallow / spew up utter tripe.",0,"Liberal civic Englishness: your home is where you make your life. Nothing to do with your DNA. Brexit healing will come from truth, not by perpetuating the lie.",False,3199,1,[]
1387491715947372544,jessmc14,2021-04-28 19:39:38,There's so many damn people in the break room. It's like there's suddenly no more covid. 😒😠,0,"Jmac's wife, mommy to Louie & Tucker. I always mean what I say, even if it hurts someone's feelings. I love my family& friends abundantly. Don't fuck with them!",False,228,0,[]
1387491715582504960,Forensic_Stats,2021-04-28 19:39:38,"@TWenseleers @AdamJKucharski 
Any idea on who ran this modelling for WHO, and what epi data it was based on?
https://t.co/iwHBSbcsMA https://t.co/3O6KdWC4Wy",0,Freelance statistician and data analyst with an eye for solving tricky problems.,False,9,0,[]
1387491716018491396,eztempo,2021-04-28 19:39:38,"@AnnieSage @cheezwitham Reminder: COVID can leave lung scaring, even from a case that doesn't hospitalize the sufferer. https://t.co/5WBBJHhq0d",0,"Love your neighbor. reTweet your friends.   I always Follow back, but only follow real people.",False,4953,0,[]
1387491716396195840,grumpy_indie,2021-04-28 19:39:38,"If the search of Giuliani's electronics is about Ukraine, it is also possible, if not likely, that there will be evidence of his illegal collusion with New York FBI agents in 2016 that probably cost Clinton the election-- and thus cost hundreds of thousands of lives to Covid.",0,"Extreme centrist. Pro democracy; anti-radicalism. Amplify decent, reasonable voices from both sides of the aisle. Appreciate sarcasm and good puns.",False,297,1,[]
1387491716345782272,MargaretDunne13,2021-04-28 19:39:38,"Health Secretary says because this is a coronavirus press conference he will NOT answer questions on Boris Johnson's flat refurb.  

That hasn't stopped this press conference being used before, for example, to attack the Mayor of London during the elections.",0,"“Falsehood flies, and truth comes limping after it, so that when men come to be undeceived, it is too late; the jest is over, and the tale hath had its effect”",False,4146,1,[]
1387491716366749711,geogirl72,2021-04-28 19:39:38,"We are seeing patients admitted to ICU with #COVID well after shot 1 and before shot 2.

One isn't vaccinated until fully vaccinated.

Given the significant delay between shots 1 &amp; 2, clear communication on how to conduct oneself b/w shots from public health leaders would help.",0,"Mom, educator, and a whole bunch of other stuff.",False,127,1,['COVID']
1387491716316291073,Woke_Hindu,2021-04-28 19:39:38,@JahidHussain2 Jahid Covid came out in October 2019 but China &amp; WHO didn't take it seriously...,0,"A proud Hindu, Antidisestablishmentarian,
Here to expose Sickulars, RT aren't endorsement... 💯 follow back to all right wing supporters 🙏",False,84,0,[]
1387491716442345476,lesterbroom48,2021-04-28 19:39:38,Boris Johnson at this very moment is in the Commons tea room trying to reassure Tory MPs he isn’t a sleaze bag.,0,"Needs coffee to function. Norwich City, Wales and Charlotte Church.",False,1235,1,[]
1387491716588982274,TriparnaBhadra,2021-04-28 19:39:38,"Everyday i am getting messages asking for medicines, oxygen and other covid related stuff
Have never felt so helpless in life.
We all should be grateful and thankful of our privileged lives
I pray everyday for this pathetic pandemic to end so that people dont have to suffer more.",0,fine Arts and crafts artist anthropologist has lots of dream.Loves music very much  Biggest fan of ammal armaan.,False,24,1,[]
1387491716563972098,UVOGlN,2021-04-28 19:39:38,"if you didn't know, india is experiencing the world's worst outbreak of covid right now, and many people are in dire need of support. this is an awesome resource that includes places + people you can donate to from other countries.

for reference, $20 usd is ~1,500 INR",0,"#BlackLivesMatter ▲ ""we love him for his heart, not his brains"" - liquid 2019 ▲ 🔞🔞🔞+RT heavy",False,342,1,[]
1387491716798816258,mrembula_T,2021-04-28 19:39:38,"JUST IN - Vaccine passports are officially outlawed in Florida now, the bill passed 76-40.",0,I just want some head & a comfortable bed.,False,1241,1,[]
1387491717025341441,HowardWilkins56,2021-04-28 19:39:38,@bbclaurak Good.. you add no value to the public's understanding of Covid &amp; haven't done so since the beginning.  I hope that the media including yourself will be examined closely in any future enquiry.  Btw have you apologised to James Dyson yet for your lies?,0,"Businessman, Pro Brexit, Conservative, Wales Rugby, Pro Europe - Anti EU, Italian wife, Stroke Survivor, Hate AS, zero tolerance for #FBPE.",False,2756,1,[]
1387491717067251719,gavindjharper,2021-04-28 19:39:38,"No 10 says Johnson will retain final say over internal inquiry into whether he broke ministerial code.

Through the looking glass now.",0,"Research Fellow. 🚘🔋♻ PhD MBA CMgr FRSA FHEA MCMI MIET.

#Huw4President",False,19052,1,[]
1387491717251702789,Hanzi87,2021-04-28 19:39:38,"#IIOJKSuffering_COVID

#FaezIsaMustBeAccountable
A few weeks ago, we had drop in number of severe cases, but over the last few days hospi­tals are seeing increase in number of seriously-ill Covid-19 patients, much like we saw last spring https://t.co/UqlpYONQUe",0,"‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏
بہت سے اکاؤنٹ سسپنڈ ہونے کے بعد یہ نیا اکاؤنٹ ہے 


 lost acc at 34k 💔",False,1711,1,"['IIOJKSuffering_COVID', 'FaezIsaMustBeAccountable']"
1387491717276999685,HelenC40139528,2021-04-28 19:39:38,"2/Seniors denied access to early outpt Covid treatments. Appalling palliative care waitlists

On Mar 17 2021, Trudeau govt made unprecedented amendments to 🇨🇦’s euthanasia &amp; assisted suicide law: removed existing consent safeguards, removed 10d reflection period, changed criteria",0,,False,290,1,[]
1387491717356552192,Tandav__,2021-04-28 19:39:38,"Father of one of my friend is critical being 95% infected lungs &amp; 25/25 CT score admitted in hospital @ Indore. Need concrete medical consultation from a best Covid doctor, how can we proceed. Plz help / amplify
@The_Sarcastic_J @EducatedMoron @RVCJ_FB @ManMundra @covidsos_india",0,Senior Architect at EXCEED IT Services,False,84,1,[]
1387491717587349506,annatweets74,2021-04-28 19:39:38,"@ClarkeMicah Transparent fear mongering by the Gov, followed by shame, blame, guilt, panic, creating fear of long covid and finally threat to remove freedoms. I cannot understand why my family, friends and colleagues don’t see it or find it sinister. They think I am overreacting.",0,Sue you are shouting at tea.,False,854,0,[]
1387491717646061568,Sunchasegirl,2021-04-28 19:39:38,"Remember as you read the new, bombshell New York Times Cuomo nursing home investigation that President Biden and VP Harris are ignoring the weekly COVID calls with governors, and instead allowing Andrew Cuomo to lead them.

They know what he did. And yet.

https://t.co/vvBCDdkl1y",0,"Florida REPUBLICAN. South Florida
alt acct FLORIDA GIRL",False,181,1,[]
1387491718107471873,jthurgood1,2021-04-28 19:39:38,"Remember as you read the new, bombshell New York Times Cuomo nursing home investigation that President Biden and VP Harris are ignoring the weekly COVID calls with governors, and instead allowing Andrew Cuomo to lead them.

They know what he did. And yet.

https://t.co/vvBCDdkl1y",0,"Father of twin daughters. Interested in world events, politics, and sports. Colts, Cards, Pacers, Buckeyes FB, IUBB. Get off my Lawn. ¯\_(ツ)_/¯",False,274,1,[]
1387491718271053833,qatarnews,2021-04-28 19:39:38,"Anyone holding a booking will need to rebook. Know more here! 👇👇👇

#Doha #Qatar #CoronavirusUpdates #QatarNews @qatarairways 
https://t.co/nBfPXSesRn",0,Grab the latest and verified news related to Qatar! Visit http://iloveqatar.net/news for more. (The People’s News Network),False,144745,0,"['Doha', 'Qatar', 'CoronavirusUpdates', 'QatarNews']"
1387491718459797514,mcdreeamie,2021-04-28 19:39:38,And Labour is the problem how?,0,Doctor @teamEDNUH I MMedSci  I Podcast @TakeAurally I #MedicalEducation #HistMed #MUFC #FightHypocaffeineaemia #QuacksWhoQuaff I Alumnus @NUHDREEAM (hence my @),False,742,0,[]
1387491718681878530,torybryant20,2021-04-28 19:39:38,"A few good things that happened today: Parents got both shots of the vaccine, made a very good cup of coffee right now, and close to having 7000 amazing people in my Twitter community. ✨",0,"Crypto Artist, digital artist and fine artist. selling #NFTs on foundation see all my work here https://linktr.ee/Torybryant20",False,1132,1,[]
1387491718644256770,Tbarb15,2021-04-28 19:39:38,The year long game of “Mother May I” continues. From the beginning here in South Dakota we provided our citizens w/ all the information on Covid &amp; allowed them to make the best decisions for themselves and their families. No shut downs. No mandates. No deciding what’s essential.,0,hell yah brother,False,238,1,[]
1387491719139282947,hagvtr,2021-04-28 19:39:38,"Recall unemployment and balance sheet support policies help recovery from the COVID recession, except for young non-essential firms, from Francisco J. Buera, Roberto N. Fattal-Jaef, Hugo Hopenhayn, @andyneumere, and Yongseok Shin https://t.co/x62v4QVffO https://t.co/68w8K3vXXl",0,,False,544,1,[]
1387491719214768129,JCTrey,2021-04-28 19:39:38,"By July 2020, Cuomo knew 9,739 nursing home residents died in NY - or approximately 35% of all NY COVID deaths. He suppressed that info, instead claiming it was 21%. He continued suppressing it for months, during book tour. Stunning new NYT investigation: https://t.co/cRtFl4O3ga",0,I know the Thing,False,803,1,[]
1387491719940296708,INMachina_music,2021-04-28 19:39:39,@sputnikvaccine some comments ?,0,[IN.dividus) rémois bidouillant une machine à faire des boucles #pop #electropop #reims #music #french https://t.co/uglwUUyAJx https://t.co/hBT21oamhy,False,54,0,[]
1387491720061935626,jonmcdevitt,2021-04-28 19:39:39,"@nicktolhurst @CommonsSpeaker this is now clearly undemocratic. At present we have a demonstrably authoritarian Government. A government that is no longer acting in the interest of the people it serves, only in it's (PM Johnson's)own furtherance. It is disgraceful. 

https://t.co/q5FGjg7BLK",0,"Musician, music therapist.  Have had all the sovereignty anyone can reasonably be expected to stand.",False,542,1,[]
1387491720212803586,AnkaraS13,2021-04-28 19:39:39,"Whenever I'm hearing about COVID getting more serious here,

I really miss you Sushant🥺❤️

All I can think is how u would have helped the people rn...The country really needed a gem like u in this situation!!!

With a heavy heart,
GOOD NIGHT SSRians💫

SSR Phenomenal Social Work",0,"Happy, excited,  fun, musical...here for justice for Sushant... | Fan Account |... | Sushant Fan | ... 💕💕💕🌹🌹🌹",False,1088,1,[]
1387491720179372033,TipTopTipster,2021-04-28 19:39:39,Tories urged to reveal any donors who were later handed Covid contracts https://t.co/LfCoN5x5s9,0,"Beer, wine, food, dog & rugby lover. CS Stags RFC, Proud European (no longer English). Ex lifelong Tory voter. Now Republican. Brexit = power grab by rich elite",False,3396,1,[]
1387491720556781573,slothcapybara,2021-04-28 19:39:39,"it won’t matter if every single american is fully vaccinated against COVID-19, if the global patent isn’t lifted and if countries like the united states do not begin largely distributing their vaccines worldwide to other struggling nations, this virus will continue to mutate.",0,adrian | they/he | this account serves no particular purpose other than to gab into the cyber-void | i like d&d mtg videos games and jellyfish :),False,108,1,[]
1387491720603049988,mfc815,2021-04-28 19:39:39,"“But with just 44 published cases of potential inflight COVID-19 transmission among 1.2 billion travelers, the risk of contracting the virus on board appears to be in the same category as being struck by lightning.” 1/3
https://t.co/PhX9rtsBgL",0,,False,206,1,[]
1387491720481230852,Vinayak4rPK,2021-04-28 19:39:39,"Undisputed truth! Saved last year using this drug, saving many now!",0,@PawanKalyan Freak || @SunRisers 🧡 @RCBTweets || Editor 🖌️🎨.,False,424,1,[]
